"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","CES-D score at Year 1","IPF(2a)-III","683","6","16","-0.47","-0.45","0.02 (-0.05, 0.1)","0.57","0.57","-0.56","-0.58","-0.02 (-0.1, 0.06)","0.63","0.63"
"4","","2,3-dinor-iPF(a2)-III","683","6","16","1.66","1.69","0.03 (0, 0.06)","0.05","0.09","1.67","1.7","0.03 (0, 0.05)","0.07","0.18"
"5","","iPF(2a)-VI","683","6","16","2.45","2.51","0.06 (0.02, 0.1)","0","0.03","2.49","2.55","0.05 (0.01, 0.09)","0.01","0.09"
"6","","8,12-iso-iPF(2a)-VI","683","6","16","2.37","2.41","0.05 (0, 0.1)","0.08","0.1","2.39","2.44","0.04 (-0.01, 0.09)","0.1","0.18"
"7","","Pre to post-stress change in slope of sAA","687","6","16","-3.29","-4.65","-1.36 (-2.52, -0.19)","0.02","0.12","-2.29","-3.62","-1.34 (-2.51, -0.17)","0.03","0.11"
"8","","Pre-Stressor SAA","732","6","16","3.98","4.01","0.03 (-0.04, 0.11)","0.4","0.56","3.91","3.95","0.04 (-0.04, 0.11)","0.32","0.46"
"9","","Post-Stressor SAA","699","6","16","4.55","4.63","0.07 (-0.01, 0.16)","0.1","0.27","4.5","4.59","0.09 (0, 0.17)","0.05","0.13"
"10","","Change in Slope of Cortisol","678","6","16","-0.01","0","0 (0, 0)","0.08","0.25","-0.01","-0.01","0 (0, 0)","0.16","0.31"
"11","","Pre-Stressor Cortisol","737","6","16","-2.04","-2.06","-0.03 (-0.09, 0.04)","0.42","0.56","-1.95","-1.98","-0.03 (-0.09, 0.03)","0.34","0.46"
"12","","Post-Stressor Cortisol","684","6","16","-1.33","-1.44","-0.11 (-0.21, -0.01)","0.03","0.12","-1.11","-1.21","-0.1 (-0.2, -0.01)","0.03","0.11"
"13","","Mean Arterial Perssure","1485","6","16","64.75","65.06","0.32 (-0.22, 0.86)","0.25","0.44","64.93","65.4","0.47 (0.05, 0.89)","0.03","0.11"
"14","","Resting Heart Rate","1488","6","16","109.76","109.64","-0.12 (-1.12, 0.87)","0.82","0.82","106.32","107.49","1.17 (-1.26, 3.6)","0.35","0.46"
"15","","Entire promoter region (39 assayed CpG sites)","726","6","16","0.33","0.29","-0.03 (-0.1, 0.03)","0.34","0.51","0.37","0.34","-0.03 (-0.1, 0.04)","0.36","0.46"
"16","","NGFI-A transcription factor binding site (CpG site #12)","414","5.25","15","-4.38","-4.41","-0.04 (-0.09, 0.01)","0.13","0.31","-4.41","-4.45","-0.04 (-0.09, 0.01)","0.14","0.3"
"17","","","","","","","","","","","","","","",""
"18","CES-D score at Year 2","Pre to post-stress change in slope of sAA","675","5","17","-4.21","-2.71","1.5 (0.09, 2.9)","0.04","0.37","-3.12","-1.82","1.3 (-0.11, 2.72)","0.07","0.46"
"19","","Pre-Stressor SAA","716","5","17","3.98","3.99","0.01 (-0.14, 0.15)","0.94","0.94","3.9","3.97","0.07 (0, 0.15)","0.05","0.46"
"20","","Post-Stressor SAA","687","5","17","4.66","4.46","-0.2 (-0.39, -0.01)","0.03","0.37","4.64","4.47","-0.17 (-0.36, 0.02)","0.08","0.46"
"21","","Change in Slope of Cortisol","662","5","17","-0.01","-0.01","0 (0, 0)","0.38","0.84","-0.01","-0.01","0 (0, 0)","0.3","0.68"
"22","","Pre-Stressor Cortisol","721","5","17","-2.02","-2.11","-0.09 (-0.18, 0.01)","0.08","0.5","-1.92","-2","-0.08 (-0.17, 0.01)","0.1","0.48"
"23","","Post-Stressor Cortisol","668","5","17","-1.37","-1.47","-0.09 (-0.31, 0.13)","0.42","0.84","-1.17","-1.3","-0.13 (-0.36, 0.09)","0.24","0.68"
"24","","Mean Arterial Perssure","1455","5","17","65.01","65.11","0.1 (-0.32, 0.51)","0.66","0.84","65.29","65.44","0.16 (-0.26, 0.58)","0.47","0.76"
"25","","Resting Heart Rate","1458","5","17","109.46","109.73","0.27 (-0.72, 1.25)","0.61","0.84","110","110.18","0.18 (-0.81, 1.18)","0.73","0.84"
"26","","Entire promoter region (39 assayed CpG sites)","718","5","17","0.35","0.34","-0.01 (-0.04, 0.03)","0.79","0.87","0.41","0.41","0 (-0.03, 0.03)","0.98","0.98"
"27","","NGFI-A transcription factor binding site (CpG site #12)","406","5","17","-4.35","-4.38","-0.03 (-0.16, 0.11)","0.72","0.84","-4.43","-4.45","-0.02 (-0.07, 0.03)","0.48","0.76"
